NO.,Time,Value
1,00:00.0,120.3V
2,00:00.5,120.3V
3,00:00.9,120.3V
4,00:01.3,120.3V
5,00:01.8,120.3V
6,00:02.2,120.3V
7,00:02.7,120.3V
8,00:03.1,120.3V
9,00:03.5,120.3V
10,00:04.0,120.3V
11,00:04.4,120.3V
12,00:04.9,120.3V
13,00:05.4,120.3V
14,00:05.8,120.3V
15,00:06.2,120.4V
16,00:06.7,120.4V
17,00:07.1,120.3V
18,00:07.6,120.4V
19,00:08.0,120.3V
20,00:08.5,120.4V
21,00:08.9,120.4V
22,00:09.4,120.4V
23,00:09.8,120.4V
24,00:10.3,120.4V
25,00:10.7,120.3V
26,00:11.2,120.3V
27,00:11.7,120.3V
28,00:12.1,120.3V
29,00:12.5,120.3V
30,00:13.0,120.3V
31,00:13.4,120.3V
32,00:13.8,120.4V
33,00:14.3,120.4V
34,00:14.7,120.4V
35,00:15.2,120.4V
36,00:15.6,120.3V
37,00:16.1,120.3V
38,00:16.5,120.4V
39,00:17.0,120.4V
40,00:17.4,120.4V
41,00:17.9,120.4V
42,00:18.3,120.4V
43,00:18.7,120.5V
44,00:19.2,120.4V
45,00:19.6,120.4V
46,00:20.1,120.4V
47,00:20.5,120.4V
48,00:21.0,120.4V
49,00:21.4,120.4V
50,00:21.8,120.4V
51,00:22.3,120.4V
52,00:22.8,120.3V
53,00:23.2,120.3V
54,00:23.6,120.3V
55,00:24.1,120.3V
56,00:24.5,120.3V
57,00:25.0,120.3V
58,00:25.4,120.3V
59,00:25.9,120.3V
60,00:26.3,120.3V
61,00:26.8,120.3V
62,00:27.2,120.3V
63,00:27.7,120.3V
64,00:28.1,120.3V
65,00:28.5,120.3V
66,00:29.0,120.4V
67,00:29.4,120.5V
68,00:29.9,120.5V
69,00:30.3,120.5V
70,00:30.8,120.5V
71,00:31.3,120.5V
72,00:31.7,120.4V
73,00:32.1,120.4V
74,00:32.6,120.4V
75,00:33.0,120.4V
76,00:33.5,120.5V
77,00:33.9,120.5V
78,00:34.3,120.4V
79,00:34.8,120.4V
80,00:35.2,120.4V
81,00:35.7,120.4V
82,00:36.1,120.4V
83,00:36.6,120.4V
84,00:37.0,120.4V
85,00:37.5,120.4V
86,00:37.9,120.4V
87,00:38.4,120.4V
88,00:38.8,120.4V
89,00:39.3,120.4V
90,00:39.7,120.4V
91,00:40.2,120.4V
92,00:40.6,120.3V
93,00:41.1,120.4V
94,00:41.5,120.4V
95,00:41.9,120.4V
96,00:42.4,120.4V
97,00:42.8,120.4V
98,00:43.3,120.4V
99,00:43.7,120.4V
100,00:44.2,120.4V
101,00:44.6,120.3V
102,00:45.1,120.3V
103,00:45.5,120.3V
104,00:46.0,120.4V
105,00:46.4,120.4V
106,00:46.8,120.3V
107,00:47.3,120.3V
108,00:47.7,120.3V
109,00:48.2,120.3V
110,00:48.6,120.4V
111,00:49.1,120.3V
112,00:49.5,120.3V
113,00:50.0,120.3V
114,00:50.4,120.4V
115,00:50.9,120.4V
116,00:51.3,120.4V
117,00:51.8,120.4V
118,00:52.2,120.4V
119,00:52.7,120.3V
120,00:53.1,120.4V
121,00:53.5,120.4V
122,00:54.0,120.4V
123,00:54.4,120.4V
124,00:54.9,120.4V
125,00:55.3,120.4V
126,00:55.8,120.4V
127,00:56.2,120.4V
128,00:56.7,120.5V
129,00:57.1,120.4V
130,00:57.6,120.4V
131,00:58.0,120.3V
132,00:58.5,120.4V
133,00:58.9,120.4V
134,00:59.3,120.4V
135,00:59.8,120.4V
136,01:00.2,120.3V
137,01:00.7,120.1V
138,01:01.1,119.9V
139,01:01.6,120V
140,01:02.0,120.1V
141,01:02.5,120.2V
142,01:02.9,120.3V
143,01:03.4,120.4V
144,01:03.8,120.5V
145,01:04.2,120.5V
146,01:04.7,120.3V
147,01:05.1,120.2V
148,01:05.6,120.1V
149,01:06.0,120V
150,01:06.5,120V
151,01:06.9,120.1V
152,01:07.4,120.1V
153,01:07.8,120.2V
154,01:08.3,120.3V
155,01:08.7,120.4V
156,01:09.1,120.5V
157,01:09.6,120.6V
158,01:10.1,120.5V
159,01:10.5,120.6V
160,01:11.0,120.5V
161,01:11.4,120.5V
162,01:11.8,120.4V
163,01:12.3,120.4V
164,01:12.7,120.4V
165,01:13.2,120.4V
166,01:13.6,120.5V
167,01:14.0,120.6V
168,01:14.5,120.6V
169,01:15.0,120.6V
170,01:15.4,120.6V
171,01:15.9,120.5V
172,01:16.3,120.5V
173,01:16.8,120.5V
174,01:17.2,120.3V
175,01:17.7,120.4V
176,01:18.1,120.4V
177,01:18.6,120.5V
178,01:19.0,120.5V
179,01:19.5,120.5V
180,01:19.9,120.5V
181,01:20.3,120.6V
182,01:20.8,120.6V
183,01:21.2,120.6V
184,01:21.7,120.5V
185,01:22.1,120.6V
186,01:22.6,120.5V
187,01:23.0,120.5V
188,01:23.5,120.5V
189,01:23.9,120.5V
190,01:24.3,120.5V
191,01:24.8,120.5V
192,01:25.2,120.5V
193,01:25.7,120.6V
194,01:26.1,120.5V
195,01:26.5,120.5V
196,01:27.0,120.5V
197,01:27.5,120.6V
198,01:27.9,120.5V
199,01:28.4,120.5V
200,01:28.8,120.5V
201,01:29.2,120.5V
202,01:29.7,120.5V
203,01:30.1,120.5V
204,01:30.5,120.6V
205,01:31.0,120.6V
206,01:31.4,120.6V
207,01:31.9,120.6V
208,01:32.3,120.6V
209,01:32.7,120.6V
210,01:33.2,120.6V
211,01:33.6,120.6V
212,01:34.1,120.6V
213,01:34.5,120.6V
214,01:34.9,120.6V
215,01:35.4,120.6V
216,01:35.8,120.6V
217,01:36.3,120.6V
218,01:36.7,120.6V
219,01:37.1,120.6V
220,01:37.6,120.6V
221,01:38.1,120.6V
222,01:38.5,120.6V
223,01:39.0,120.6V
224,01:39.4,120.6V
225,01:39.8,120.6V
226,01:40.3,120.6V
227,01:40.7,120.7V
228,01:41.2,120.7V
229,01:41.6,120.7V
230,01:42.1,120.7V
231,01:42.5,120.6V
232,01:43.0,120.6V
233,01:43.4,120.6V
234,01:43.9,120.6V
235,01:44.3,120.6V
236,01:44.7,120.7V
237,01:45.2,120.7V
238,01:45.6,120.7V
239,01:46.1,120.6V
240,01:46.5,120.6V
241,01:46.9,120.6V
242,01:47.4,120.6V
243,01:47.9,120.6V
244,01:48.3,120.6V
245,01:48.8,124.4V
246,01:49.2,124.4V
247,01:49.6,124.3V
248,01:50.1,124.3V
249,01:50.5,124.3V
250,01:51.0,124.3V
251,01:51.4,124.3V
252,01:51.8,124.3V
253,01:52.3,124.2V
254,01:52.8,124.2V
255,01:53.2,124.2V
256,01:53.6,124.2V
257,01:54.1,124.2V
258,01:54.5,124.2V
259,01:55.0,124.1V
260,01:55.4,124V
261,01:55.8,124V
262,01:56.3,124V
263,01:56.7,124.1V
264,01:57.2,124V
265,01:57.7,124V
266,01:58.1,124V
267,01:58.5,124V
268,01:59.0,124V
269,01:59.4,124.1V
270,01:59.9,124.1V
271,02:00.3,124.1V
272,02:00.7,124.1V
273,02:01.2,124.1V
274,02:01.6,124.1V
275,02:02.1,124V
276,02:02.5,123.9V
277,02:02.9,123.9V
278,02:03.4,124V
279,02:03.9,124.1V
280,02:04.3,124.1V
281,02:04.8,124.1V
282,02:05.2,124V
283,02:05.6,124V
284,02:06.1,124V
285,02:06.5,124.1V
286,02:07.0,124.2V
287,02:07.4,124.2V
288,02:07.8,124.2V
289,02:08.3,124.2V
290,02:08.8,124.1V
291,02:09.2,124.2V
292,02:09.6,124.2V
293,02:10.1,124.1V
294,02:10.5,124.1V
295,02:11.0,124.1V
296,02:11.4,124.1V
297,02:11.8,124.1V
298,02:12.3,124V
299,02:12.7,124V
300,02:13.2,124V
301,02:13.7,124.1V
302,02:14.1,124.1V
303,02:14.5,124.1V
304,02:15.0,124V
305,02:15.4,124V
306,02:15.9,123.9V
307,02:16.3,124V
308,02:16.8,124.1V
309,02:17.2,124.1V
310,02:17.6,124.1V
311,02:18.1,124.2V
312,02:18.6,124.2V
313,02:19.0,124.1V
314,02:19.4,124.1V
315,02:19.9,124.1V
316,02:20.3,124.2V
317,02:20.8,124.2V
318,02:21.2,124.1V
319,02:21.6,124.2V
320,02:22.1,124.2V
321,02:22.5,124.2V
322,02:23.0,124.2V
323,02:23.5,124.2V
324,02:23.9,124.2V
325,02:24.3,124.2V
326,02:24.8,124.2V
327,02:25.2,124.1V
328,02:25.7,124.2V
329,02:26.1,124.2V
330,02:26.5,124.2V
331,02:27.0,124.2V
332,02:27.4,124.2V
333,02:27.8,124.2V
334,02:28.3,124.2V
335,02:28.7,124.3V
336,02:29.2,124.3V
337,02:29.6,124.3V
338,02:30.0,124.3V
339,02:30.5,124.3V
340,02:30.9,124.3V
341,02:31.4,124.3V
342,02:31.9,124.2V
343,02:32.3,124.2V
344,02:32.7,124.2V
345,02:33.2,124.2V
346,02:33.6,124.2V
347,02:34.1,124.2V
348,02:34.5,124.2V
349,02:35.0,123.8V
350,02:35.4,123.6V
351,02:35.8,123.6V
352,02:36.3,123.8V
353,02:36.7,124V
354,02:37.2,124.1V
355,02:37.6,124.1V
356,02:38.1,124.2V
357,02:38.5,124.1V
358,02:38.9,124.1V
359,02:39.4,124.1V
360,02:39.8,124.2V
361,02:40.3,124.1V
362,02:40.7,124.1V
363,02:41.1,124.1V
364,02:41.6,124.1V
365,02:42.0,124.1V
366,02:42.5,124.1V
367,02:42.9,124.1V
368,02:43.3,124.1V
369,02:43.8,124.1V
370,02:44.2,124.1V
371,02:44.7,124.1V
372,02:45.2,124.1V
373,02:45.6,124.1V
374,02:46.0,124.1V
375,02:46.5,124V
376,02:46.9,124V
377,02:47.4,124V
378,02:47.8,124V
379,02:48.3,124V
380,02:48.7,124V
381,02:49.1,124V
382,02:49.6,124V
383,02:50.0,124.1V
384,02:50.5,124.1V
385,02:50.9,124.1V
386,02:51.4,124.1V
387,02:51.8,124.1V
388,02:52.3,124V
389,02:52.7,124V
390,02:53.1,124V
391,02:53.6,124V
392,02:54.0,124V
393,02:54.5,124V
394,02:54.9,124.1V
395,02:55.3,124.1V
396,02:55.8,124.1V
397,02:56.2,124V
398,02:56.7,120.6V
399,02:57.1,2V
400,02:57.6,0.47V
401,02:58.0,0.34V
402,02:58.5,0.34V
403,02:58.9,0.34V
404,02:59.3,0.341V
405,02:59.8,0.341V
406,03:00.2,0.341V
407,03:00.7,0.341V
408,03:01.1,0.341V
409,03:01.5,0.341V
410,03:02.0,0.341V
411,03:02.4,0.341V
412,03:02.9,0.341V
413,03:03.3,0.341V
414,03:03.8,0.341V
415,03:04.3,0.341V
416,03:04.7,0.341V
417,03:05.1,0.341V
418,03:05.6,0.341V
419,03:06.0,0.341V
420,03:06.5,0.341V
421,03:06.9,0.341V
422,03:07.4,0.341V
423,03:07.8,0.341V
424,03:08.3,0.341V
425,03:08.7,0.341V
426,03:09.2,0.341V
427,03:09.6,0.341V
428,03:10.1,0.341V
429,03:10.5,0.341V
430,03:11.0,0.341V
431,03:11.4,0.341V
432,03:11.8,0.341V
433,03:12.3,0.341V
434,03:12.7,0.341V
435,03:13.2,0.341V
436,03:13.6,0.341V
437,03:14.0,0.341V
438,03:14.5,0.341V
439,03:14.9,0.341V
440,03:15.4,0.341V
441,03:15.8,0.341V
442,03:16.3,0.341V
443,03:16.7,0.341V
444,03:17.2,0.341V
445,03:17.6,0.341V
446,03:18.0,0.341V
447,03:18.5,0.341V
448,03:18.9,0.341V
449,03:19.4,0.341V
450,03:19.8,0.341V
451,03:20.3,0.341V
452,03:20.7,0.341V
453,03:21.1,0.341V
454,03:21.6,0.341V
455,03:22.0,0.341V
456,03:22.5,0.341V
457,03:22.9,0.341V
458,03:23.4,0.341V
459,03:23.8,0.341V
460,03:24.2,0.341V
461,03:24.7,0.341V
462,03:25.1,0.341V
463,03:25.6,0.341V
464,03:26.0,0.341V
465,03:26.5,0.341V
466,03:26.9,0.341V
467,03:27.3,0.341V
468,03:27.8,0.341V
469,03:28.2,0.341V
470,03:28.7,0.341V
471,03:29.1,0.341V
472,03:29.5,0.341V
473,03:30.0,0.341V
474,03:30.4,0.341V
475,03:30.9,0.341V
476,03:31.3,0.341V
477,03:31.8,0.341V
478,03:32.2,0.341V
479,03:32.7,0.341V
480,03:33.1,0.341V
481,03:33.6,0.341V
482,03:34.0,0.341V
483,03:34.5,0.341V
484,03:34.9,0.341V
485,03:35.4,0V
486,03:35.8,125.6V
487,03:36.2,125.6V
488,03:36.7,125.6V
489,03:37.1,125.1V
490,03:37.6,124.2V
491,03:38.0,123.7V
492,03:38.4,123.7V
493,03:38.9,123.7V
494,03:39.4,123.6V
495,03:39.8,123.6V
496,03:40.3,123.7V
497,03:40.7,123.9V
498,03:41.1,123.9V
499,03:41.6,124V
500,03:42.0,124.1V
501,03:42.5,124V
502,03:42.9,124.1V
503,03:43.3,124V
504,03:43.8,124V
505,03:44.2,123.9V
506,03:44.7,123.9V
507,03:45.1,123.9V
508,03:45.5,124V
509,03:46.0,123.9V
510,03:46.5,123.9V
511,03:46.9,123.9V
512,03:47.4,124V
513,03:47.8,124V
514,03:48.2,123.9V
515,03:48.7,123.9V
516,03:49.1,123.9V
517,03:49.6,123.9V
518,03:50.0,123.9V
519,03:50.4,124V
520,03:50.9,124V
521,03:51.4,124V
522,03:51.8,124V
523,03:52.3,124V
524,03:52.7,124V
525,03:53.1,124.1V
526,03:53.6,124.1V
527,03:54.0,124.1V
528,03:54.5,124.1V
529,03:54.9,124V
530,03:55.3,124V
531,03:55.8,124V
532,03:56.3,124V
533,03:56.7,124V
534,03:57.2,124V
535,03:57.6,124V
536,03:58.0,124V
537,03:58.5,124V
538,03:58.9,124V
539,03:59.4,124V
540,03:59.8,124V
541,04:00.2,124V
542,04:00.7,124V
543,04:01.2,124V
544,04:01.6,124.1V
545,04:02.0,124.1V
546,04:02.5,124.2V
547,04:02.9,124.2V
548,04:03.4,124.2V
549,04:03.8,124.2V
550,04:04.3,124.2V
551,04:04.7,124.2V
552,04:05.1,124.2V
553,04:05.6,124.1V
554,04:06.1,124.1V
555,04:06.5,124.1V
556,04:07.0,124.2V
557,04:07.4,124.2V
558,04:07.8,124.1V
559,04:08.3,124.1V
560,04:08.7,113.7V
561,04:09.2,113.7V
562,04:09.6,113.7V
563,04:10.0,113.7V
564,04:10.5,113.6V
565,04:11.0,113.6V
566,04:11.4,113.6V
567,04:11.8,113.6V
568,04:12.3,113.6V
569,04:12.7,113.6V
570,04:13.2,113.7V
571,04:13.6,113.8V
572,04:14.0,113.8V
573,04:14.5,113.8V
574,04:14.9,113.8V
575,04:15.4,113.7V
576,04:15.9,113.7V
577,04:16.3,113.7V
578,04:16.8,113.7V
579,04:17.2,113.7V
580,04:17.6,113.8V
581,04:18.1,113.8V
582,04:18.5,113.8V
583,04:19.0,113.8V
584,04:19.4,113.8V
585,04:19.8,113.8V
586,04:20.3,113.9V
587,04:20.8,113.9V
588,04:21.2,113.9V
589,04:21.6,114.1V
590,04:22.1,114.8V
591,04:22.5,115.9V
592,04:23.0,117.3V
593,04:23.4,119.5V
594,04:23.8,120.2V
595,04:24.3,120.5V
596,04:24.7,120.7V
597,04:25.2,120.8V
598,04:25.6,120.8V
599,04:26.0,120.7V
600,04:26.5,120.7V
601,04:27.0,120.8V
602,04:27.4,120.7V
603,04:27.9,120.7V
604,04:28.3,120.7V
605,04:28.7,120.8V
606,04:29.2,120.8V
607,04:29.6,120.8V
608,04:30.1,120.8V
609,04:30.5,120.8V
610,04:31.0,120.8V
611,04:31.4,120.8V
612,04:31.9,120.8V
613,04:32.3,120.8V
614,04:32.8,120.8V
615,04:33.2,120.8V
616,04:33.6,120.8V
617,04:34.1,120.8V
618,04:34.5,120.8V
619,04:35.0,120.8V
620,04:35.4,120.7V
621,04:35.8,120.8V
622,04:36.3,120.7V
623,04:36.8,120.7V
624,04:37.2,120.7V
625,04:37.7,120.7V
626,04:38.1,120.6V
627,04:38.5,120.6V
628,04:39.0,120.6V
629,04:39.4,120.7V
630,04:39.9,120.8V
631,04:40.3,120.8V
632,04:40.8,120.8V
633,04:41.2,120.8V
634,04:41.7,120.8V
635,04:42.1,120.7V
636,04:42.6,120.7V
637,04:43.0,120.7V
638,04:43.5,120.8V
639,04:43.9,120.8V
640,04:44.3,120.8V
641,04:44.8,120.8V
642,04:45.2,120.8V
643,04:45.7,120.8V
644,04:46.1,120.7V
645,04:46.6,120.7V
646,04:47.0,120.7V
647,04:47.5,120.7V
648,04:47.9,120.7V
649,04:48.3,120.7V
650,04:48.8,120.8V
651,04:49.2,120.8V
652,04:49.7,120.8V
653,04:50.2,120.8V
654,04:50.6,120.8V
655,04:51.0,120.7V
656,04:51.5,120.7V
657,04:51.9,120.7V
658,04:52.4,120.8V
659,04:52.8,120.8V
660,04:53.3,120.8V
661,04:53.7,120.8V
662,04:54.1,120.8V
663,04:54.6,120.7V
664,04:55.0,120.7V
665,04:55.5,120.7V
666,04:55.9,120.7V
667,04:56.4,120.7V
668,04:56.8,120.7V
669,04:57.3,120.7V
670,04:57.7,120.8V
671,04:58.1,120.7V
672,04:58.6,120.8V
673,04:59.0,120.8V
674,04:59.5,120.7V
675,05:00.0,120.7V
676,05:00.4,120.7V
677,05:00.8,120.7V
678,05:01.3,120.7V
679,05:01.7,120.7V
680,05:02.2,120.7V
681,05:02.7,120.7V
682,05:03.1,120.6V
683,05:03.5,120.6V
684,05:04.0,120.7V
685,05:04.4,120.7V
686,05:04.9,120.7V
687,05:05.3,120.7V
688,05:05.7,120.6V
689,05:06.2,120.7V
690,05:06.6,120.7V
691,05:07.1,120.8V
692,05:07.5,120.8V
693,05:08.0,120.7V
694,05:08.5,120.7V
695,05:08.9,120.8V
696,05:09.3,120.8V
697,05:09.8,120.8V
698,05:10.2,120.8V
699,05:10.7,120.8V
700,05:11.2,120.8V
701,05:11.6,120.8V
702,05:12.0,120.8V
703,05:12.5,120.8V
704,05:12.9,120.8V
705,05:13.4,120.8V
706,05:13.8,120.8V
707,05:14.2,120.8V
708,05:14.7,120.7V
709,05:15.1,120.7V
710,05:15.6,120.7V
711,05:16.0,120.7V
712,05:16.5,120.7V
713,05:16.9,120.6V
714,05:17.4,120.7V
715,05:17.8,120.8V
716,05:18.2,120.7V
717,05:18.7,120.8V
718,05:19.1,120.7V
719,05:19.6,120.8V
720,05:20.0,120.7V
721,05:20.5,120.8V
722,05:21.0,120.7V
723,05:21.4,120.8V
724,05:21.8,120.7V
725,05:22.3,120.7V
726,05:22.7,120.7V
727,05:23.2,120.7V
728,05:23.6,120.7V
729,05:24.1,120.7V
730,05:24.5,120.7V
731,05:25.0,120.7V
732,05:25.4,120.7V
733,05:25.9,120.6V
734,05:26.3,120.6V
735,05:26.7,120.6V
736,05:27.2,120.7V
737,05:27.6,120.7V
738,05:28.1,120.7V
739,05:28.5,120.7V
740,05:29.0,120.7V
741,05:29.4,120.7V
742,05:29.9,120.7V
743,05:30.3,120.7V
744,05:30.8,120.7V
745,05:31.2,120.7V
746,05:31.6,120.7V
747,05:32.1,120.7V
748,05:32.5,120.7V
749,05:33.0,120.7V
750,05:33.4,120.6V
751,05:33.9,120.6V
752,05:34.3,120.6V
753,05:34.8,120.6V
754,05:35.2,120.6V
755,05:35.7,120.6V
756,05:36.1,120.6V
757,05:36.5,120.6V
758,05:37.0,120.6V
759,05:37.4,120.6V
760,05:37.9,120.6V
761,05:38.3,120.6V
762,05:38.8,120.6V
763,05:39.2,120.6V
764,05:39.7,120.6V
765,05:40.1,120.6V
766,05:40.5,120.6V
767,05:41.0,120.6V
768,05:41.4,120.6V
769,05:41.9,120.7V
770,05:42.3,120.7V
771,05:42.8,120.7V
772,05:43.2,120.7V
773,05:43.7,120.6V
774,05:44.1,120.6V
775,05:44.6,120.6V
776,05:45.0,120.7V
777,05:45.4,120.6V
778,05:45.9,120.6V
779,05:46.3,120.6V
780,05:46.8,120.6V
781,05:47.2,120.6V
782,05:47.7,120.6V
783,05:48.1,120.6V
784,05:48.6,120.6V
785,05:49.0,120.6V
786,05:49.5,120.6V
787,05:49.9,120.6V
788,05:50.4,120.6V
789,05:50.8,120.6V
790,05:51.3,120.6V
791,05:51.7,120.6V
792,05:52.2,120.6V
793,05:52.6,120.5V
794,05:53.0,120.5V
795,05:53.5,120.5V
796,05:53.9,120.5V
797,05:54.4,120.5V
798,05:54.8,120.5V
799,05:55.3,120.5V
800,05:55.7,120.5V
801,05:56.2,120.6V
802,05:56.6,120.6V
803,05:57.1,120.6V
804,05:57.5,120.5V
805,05:58.0,120.5V
806,05:58.4,120.5V
807,05:58.8,120.6V
808,05:59.3,120.7V
809,05:59.7,120.7V
810,06:00.2,120.6V
811,06:00.6,120.7V
812,06:01.1,120.7V
813,06:01.5,120.7V
814,06:02.0,120.7V
815,06:02.4,120.7V
816,06:02.9,120.7V
817,06:03.3,120.7V
818,06:03.7,120.7V
819,06:04.2,120.7V
820,06:04.6,120.7V
821,06:05.1,120.7V
822,06:05.5,120.7V
823,06:06.0,120.7V
824,06:06.4,120.7V
825,06:06.9,120.8V
826,06:07.3,120.7V
827,06:07.7,120.7V
828,06:08.2,120.7V
829,06:08.6,120.7V
830,06:09.1,120.7V
831,06:09.5,120.7V
832,06:10.0,120.7V
833,06:10.4,120.7V
834,06:10.9,120.7V
835,06:11.3,120.7V
836,06:11.8,120.7V
837,06:12.2,120.7V
838,06:12.7,120.7V
839,06:13.1,120.7V
840,06:13.5,120.7V
841,06:14.0,120.7V
842,06:14.4,120.7V
843,06:14.9,120.7V
844,06:15.3,120.6V
845,06:15.8,120.6V
846,06:16.2,120.6V
847,06:16.7,120.6V
848,06:17.1,120.7V
849,06:17.5,120.7V
850,06:18.0,120.7V
851,06:18.4,120.7V
852,06:18.9,120.6V
853,06:19.3,120.7V
854,06:19.8,120.7V
855,06:20.2,120.6V
856,06:20.7,120.7V
857,06:21.1,120.6V
858,06:21.6,120.6V
859,06:22.0,120.6V
860,06:22.4,120.7V
861,06:22.9,120.7V
862,06:23.3,120.7V
863,06:23.8,120.6V
864,06:24.2,120.6V
865,06:24.6,120.6V
866,06:25.1,120.6V
867,06:25.6,120.6V
868,06:26.0,120.6V
869,06:26.5,120.6V
870,06:26.9,120.6V
871,06:27.3,120.6V
872,06:27.8,120.6V
873,06:28.2,120.6V
874,06:28.7,120.6V
875,06:29.2,120.6V
876,06:29.6,120.6V
877,06:30.0,120.6V
878,06:30.5,120.6V
879,06:30.9,120.6V
880,06:31.4,120.6V
881,06:31.8,120.6V
882,06:32.2,120.6V
883,06:32.7,120.6V
884,06:33.1,120.6V
885,06:33.6,120.6V
886,06:34.1,120.6V
887,06:34.5,120.6V
888,06:35.0,120.5V
889,06:35.4,120.5V
890,06:35.8,120.5V
891,06:36.3,120.4V
892,06:36.7,120.4V
893,06:37.2,120.4V
894,06:37.6,120.5V
895,06:38.0,120.5V
896,06:38.5,120.4V
897,06:39.0,120.3V
898,06:39.4,120.3V
899,06:39.8,120.4V
900,06:40.3,120.4V
901,06:40.7,120.4V
902,06:41.2,120.4V
903,06:41.6,120.5V
904,06:42.0,120.4V
905,06:42.5,120.4V
906,06:42.9,120.4V
907,06:43.4,120.6V
908,06:43.9,120.6V
909,06:44.3,120.6V
910,06:44.8,120.6V
911,06:45.2,120.6V
912,06:45.6,120.6V
913,06:46.1,120.6V
914,06:46.5,120.5V
915,06:47.0,120.5V
916,06:47.4,120.5V
917,06:47.8,120.4V
918,06:48.3,120.5V
919,06:48.8,120.6V
920,06:49.2,120.6V
921,06:49.7,120.5V
922,06:50.1,120.5V
